G,age,job,X1,X2,D
F,38.86349458931955,F,-2.068,-0.451,Y
F,41.55150880260263,E,1.314,-0.576,Y
F,48.16835145802573,F,-0.542,1.406,Y
M,30.559383030403946,E,-0.322,-1.488,Y
F,41.55939592173979,F,-0.423,-0.504,Y
F,44.19925637699384,F,1.243,0.984,Y
F,48.47304435521126,F,-2.02,-1.084,Y
M,24.182779048345708,E,1.819,-0.278,Y
F,44.33140401867494,F,0.334,0.442,N
M,29.273741056379652,E,0.891,-0.116,N
F,45.59128082528683,E,-0.329,0.176,Y
M,31.593090551514255,E,1.384,0.741,Y
F,51.04103341604205,F,0.555,-0.367,Y
M,31.751209899756635,E,1.569,-0.721,N
M,28.14222048010712,E,0.299,-0.502,Y
M,33.977987002188,F,0.828,0.206,Y
F,42.284652107202355,F,0.44,0.724,Y
F,46.37934470725278,F,1.129,1.59,N
F,49.96940250093677,E,1.554,0.093,N
F,48.40676878231593,F,0.021,-0.689,Y
F,47.56489076487779,E,3.109,-1.999,Y
F,37.94325837724527,F,-0.612,-0.426,Y
F,44.68060199590444,F,0.642,-1.174,N
F,43.142556948911476,E,0.355,1.13,Y
M,34.189601337563055,E,0.605,0.418,Y
M,32.65836390247064,E,1.962,-2.313,N
F,45.825690244888406,F,0.857,0.592,N
M,32.51224507673028,E,2.546,-0.3,Y
F,42.94573229702592,F,-2.084,1.71,N
M,32.00578373737669,F,0.9,-1.16,Y
M,30.30042479720068,F,0.844,-2.129,N
F,39.67723271673369,E,0.346,-0.331,N
M,31.087969416248555,E,2.253,1.26,Y
F,47.23623004248025,E,0.21,-0.711,N
M,33.77390828190934,E,0.934,1.761,Y
F,46.66774895894792,F,-0.694,-0.653,N
F,48.183477329023454,E,-1.444,1.647,N
M,24.52189997765397,F,-0.012,-0.948,N
F,43.81916705938327,E,1.347,-0.835,Y
M,29.549342554971656,E,1.829,-0.654,Y
F,43.957263086300394,E,0.1,-0.312,N
M,29.718424094702176,E,-0.77,-1.614,Y
F,43.17411274154837,F,0.56,-1.073,N
M,32.32795964920367,E,-0.231,0.043,N
M,26.86553283743052,E,1.478,-1.1,N
F,45.39583687818741,F,1.164,1.049,Y
M,30.23132919064926,E,1.079,1.408,Y
M,30.45516950074483,E,1.727,-0.387,Y
M,27.003032562059705,E,0.305,0.285,Y
F,49.424753532271566,E,-1.545,1.354,N
M,29.284933991715025,E,0.418,0.5,Y
F,40.44994361826478,E,-0.644,-0.019,Y
M,32.53393630923086,F,0.95,1.163,N
M,29.989465042947785,F,2.383,1.771,Y
F,44.693443877877996,E,-0.301,-0.777,Y
M,29.696827855255773,E,-0.542,0.816,N
F,46.25048147704156,F,-0.416,-0.607,N
M,29.831630717319495,E,0.852,1.935,Y
M,27.553979550128204,E,1.023,-0.732,Y
M,25.512141372753213,E,1.521,0.965,N
M,30.95959926737892,E,0.863,0.491,N
M,25.19900885266161,F,1.015,0.501,Y
M,33.540826725472456,F,0.562,-0.189,Y
M,26.983626789738075,E,0.126,0.647,Y
M,27.3132845585716,E,1.023,-0.612,Y
F,41.89496053615009,F,-0.182,-1.402,Y
M,25.689569940916805,E,0.386,-0.252,Y
F,42.556828834501026,F,-1.24,0.001,Y
F,44.103097568474084,F,2.716,-0.385,Y
M,22.639469734048546,E,1.605,0.259,Y
F,37.26751173188093,F,0.03,-0.268,N
M,27.73623633262681,E,0.708,-1.572,Y
F,47.79354609996211,F,1.701,0.332,Y
F,40.88764809308098,F,-1.112,3.201,N
F,44.7585946198204,E,0.091,0.616,Y
M,34.52381785951013,E,0.893,0.802,N
M,25.815014601996037,E,0.858,0.119,Y
M,28.6137960885338,F,0.379,0.118,Y
M,27.649945510638066,F,1.105,-0.013,Y
M,32.82064915814635,F,0.924,-0.146,Y
F,46.46689448264268,E,-2.699,0.056,Y
M,31.953215097190103,F,0.54,0.006,Y
F,52.89436390802865,F,-1.382,0.753,N
F,50.15285309488701,E,1.355,0.232,Y
M,29.686793152486405,F,1.147,0.592,N
M,29.361245352353386,E,1.718,-1.021,N
M,25.41841025878599,F,0.745,0.147,Y
F,39.57933530308255,F,1.031,0.995,N
M,29.843019569713462,F,1.545,-0.115,Y
M,25.8909507544213,E,-0.038,-2.204,Y
M,31.977547504001866,E,1.349,-0.366,Y
F,42.496363783309675,F,0.493,0.83,N
M,28.15657112641419,E,0.479,0.754,Y
F,40.089993011630455,F,0.594,-1.211,Y
M,36.67289134916301,F,0.336,0.266,N
F,47.3996297307514,E,0.37,1.351,Y
M,27.755003458387705,F,1.14,1.94,N
M,30.477968883156542,F,2.455,-0.192,Y
M,34.183982085591865,F,2.29,-0.58,Y
F,42.065959495228185,F,-0.662,1.109,Y
F,51.02919442122802,F,0.983,-0.573,Y
M,26.735976390011768,E,2.299,0.602,N
F,44.439133743676216,F,-1.703,1.746,Y
M,24.78104526862044,F,0.981,-0.754,N
M,21.972522975988575,E,0.487,0.339,Y
M,33.194187510030474,E,0.622,-1.816,Y
M,30.271013811003648,E,0.824,0.47,Y
F,39.51705015611371,E,0.921,-1.636,Y
F,39.811963459772265,F,1.102,0.518,Y
M,33.62195076695425,E,1.991,0.307,Y
F,44.52377645258797,F,-0.472,-0.372,Y
M,34.5266210020924,E,1.549,1.784,N
F,47.013064115952446,E,-0.291,1.778,N
F,44.7895097941833,E,0.35,0.726,Y
F,45.10223637593713,F,-2.713,-0.547,Y
M,28.244703005563743,E,1.235,-1.115,Y
F,45.30922682868968,F,-0.419,-1.201,Y
F,44.80714855378437,E,1.31,-0.093,Y
M,32.6484602639678,E,1.839,-0.496,Y
M,29.483225514525568,F,1.623,-0.216,Y
F,47.60431113384549,F,0.342,-2.635,N
F,47.91129492634709,E,0.397,-0.742,Y
M,30.57162155385418,F,0.625,-0.504,Y
M,25.848029568885885,E,1.898,-1.921,N
F,44.49252809747345,F,1.254,-0.479,N
M,23.97246272838459,F,0.831,-1.314,Y
M,26.184327402520935,E,1.505,-0.63,Y
M,32.30978557753025,E,0.508,-0.865,Y
M,31.564988412185105,E,1.759,-1.527,Y
M,29.989852635410838,F,1.714,1.208,Y
F,44.04362238393284,F,-0.272,1.354,Y
F,42.66180890586024,F,2.434,-1.03,Y
F,43.37834580624859,F,-0.183,0.252,Y
F,48.05239330951922,F,-1.178,-1.186,N
M,31.507392166614654,F,2.081,-1.276,Y
M,25.66383271522191,E,1.203,-0.132,Y
F,45.62882790170287,E,1.099,0.008,Y
F,45.44260132957698,F,1.062,-1.159,N
F,50.21356329377572,F,0.97,0.173,N
F,39.44213336601659,F,-1.543,-0.842,N
F,42.523526953496926,E,-0.373,-0.113,Y
F,48.078875231230015,E,-0.952,-0.461,Y
M,26.48692384478,E,2.168,-1.169,Y
F,52.54399799357092,E,-0.651,2.266,Y
F,41.271851023800224,F,1.894,0.439,Y
F,45.09209230924261,F,0.76,0.867,N
F,46.76944474232286,E,-1.489,-0.636,Y
M,32.78608407359565,E,1.167,1.013,Y
F,47.26168781370376,E,-0.404,0.535,N
M,28.538782529738484,E,0.765,1.298,Y
M,32.88781411305357,E,1.291,-0.337,Y
M,27.61357929664686,E,0.669,0.745,Y
F,43.30825373305661,F,-1.535,0.071,N
M,31.444030253657225,E,1.5,0.533,N
F,49.77370149034378,E,-0.232,1.578,Y
F,44.27845919324447,F,-1.124,-0.791,Y
M,27.184492862313153,E,2.087,-2.427,Y
F,48.825634676395914,F,-0.184,-0.1,N
F,41.00035111264729,F,-0.474,0.44,Y
M,35.81284025811575,E,1.241,-0.212,Y
M,26.88805729853012,E,0.525,-0.812,Y
M,32.02685695470261,E,1.503,-1.149,Y
M,32.93045496035031,E,0.823,-0.418,N
F,47.482495652899196,E,-1.056,-0.19,Y
M,30.717845369808177,F,0.03,-1.569,N
F,45.15662619539029,F,-0.36,0.712,N
M,24.772184232214773,F,0.696,-0.403,N
M,27.530831503041533,F,1.564,0.199,Y
F,47.291527706384244,E,0.172,-1.011,Y
M,32.09775749603874,E,1.556,-0.749,Y
M,26.71793113336003,F,0.805,-0.347,Y
F,46.097244003161336,F,1.348,0.549,Y
F,45.79699196488871,F,0.17,-1.312,Y
M,35.53689154025784,E,1.314,0.453,N
F,43.67689935957739,F,-0.839,1.265,N
F,43.35606697449637,F,0.451,-1.328,Y
F,42.07981693082264,E,-1.559,2.269,Y
F,41.84000401544058,F,-0.348,-1.973,Y
F,46.18569082748137,F,-0.852,-0.142,Y
F,42.772677750753,F,1.591,2.049,N
M,33.398512001355854,E,0.783,0.685,N
M,28.01630619216037,F,1.175,-1.186,N
F,49.850920254490674,E,0.758,0.01,Y
M,31.320963883673855,F,0.593,0.551,Y
F,45.81708076951754,F,-1.863,0.497,N
M,26.362025456132123,E,1.737,-0.502,Y
F,46.040750438661604,E,-1.74,0.764,N
M,30.14395312940674,F,1.864,0.749,Y
F,46.998820696037825,F,0.533,0.989,Y
F,43.3845590009601,E,-0.544,1.053,N
F,40.40321871600322,E,-0.494,-0.521,N
F,45.87032711374956,E,-0.855,1.593,Y
M,30.442046087413402,E,1.031,1.195,N
M,30.77125536319843,E,0.595,-1.194,N
M,33.18014504274471,F,1.432,-0.694,Y
M,27.028595418323896,E,1.229,-0.275,Y
F,37.46824474746394,E,-0.797,0.342,N
M,31.50216727749847,E,0.53,-0.399,N
M,31.28360809462092,E,0.342,0.014,N
M,28.491415501464537,E,1.366,-0.159,N
F,45.53947888167038,E,2.701,-0.456,Y
F,41.686626152652764,E,0.095,1.403,N
F,38.339619608594454,F,0.521,0.241,N
F,39.64654394612688,F,-0.341,0.007,Y
M,30.13395768629238,E,-0.156,-0.877,N
M,34.37251425518432,F,0.166,0.456,N
M,28.768234702438015,E,0.287,-0.098,N
F,47.57389767008627,F,0.883,-1.009,Y
M,28.120557283882135,E,1.595,-1.353,N
F,44.824686416448074,E,0.538,-0.858,Y
F,47.5189461820255,E,-0.887,0.806,N
M,30.421151775464885,F,0.508,-1.064,Y
M,28.28706265890825,E,1.634,-0.106,Y
F,42.26367366653661,E,1.144,0.428,Y
M,29.70740037761641,F,1.201,-0.824,Y
F,48.7381350399933,E,0.652,1.809,Y
M,25.033154066557078,E,2.099,-1.58,Y
M,32.71744246987124,E,1.665,-0.03,Y
M,30.896970548698384,F,2.201,-0.319,Y
M,26.935397928184685,E,0.824,0.528,Y
M,29.9418971668666,F,0.651,-1.466,Y
F,44.354783264918396,E,1.11,0.594,N
M,27.002981816482897,E,0.97,-0.87,Y
M,28.294156402999217,E,0.814,0.368,Y
F,41.02727073396839,E,2.332,0.451,Y
F,38.44926723701953,E,0.134,0.597,Y
F,45.47825160821545,F,-1.1,-1.146,Y
M,33.302965654177214,E,0.75,-0.063,Y
F,50.16510324783118,E,-0.995,-0.073,Y
F,41.48551244612494,E,-1.244,-0.652,Y
M,36.79056488991543,F,0.77,1.941,N
F,49.82660568488508,F,-0.208,-2.0,Y
F,49.501423299996226,E,0.616,-0.473,Y
M,27.515504718440447,E,2.05,-0.682,N
F,43.222004246611554,F,-0.605,-2.007,Y
M,23.870375639954922,E,-0.169,-0.197,N
F,45.604498583835294,E,0.418,0.012,Y
F,43.755318266703775,F,-1.696,0.863,Y
M,30.511627078448964,E,0.835,0.549,Y
M,27.36102225993783,E,0.489,0.504,N
M,32.127803249593306,F,0.885,0.878,Y
M,31.085256092273365,E,0.695,-0.501,Y
M,26.381965144620473,E,1.007,-0.248,Y
F,44.85488957503863,F,0.47,0.769,Y
F,45.90025143766376,F,-1.228,-0.439,N
F,51.351249864961666,F,-2.731,0.763,N
F,45.30288563305319,E,0.311,-0.995,N
F,42.02616563687739,F,0.485,-0.9,N
F,43.999888416644,E,-0.256,-0.236,N
M,29.90126273139862,F,0.46,0.556,N
F,44.577534603239805,F,-0.353,-0.584,N
M,24.17675457087725,E,1.697,0.042,Y
F,43.95146179163513,F,2.004,0.548,Y
F,42.807564770931926,F,0.143,0.45,Y
F,44.17618568251279,F,0.346,2.006,N
M,36.70707203249194,F,1.794,0.563,N
F,42.36806600551042,E,-0.456,-0.43,N
F,49.547168713905954,F,-0.776,-0.393,Y
M,33.670196829843505,E,1.949,0.613,Y
M,32.16140988372026,F,1.053,-0.355,Y
M,30.009836006529305,F,-0.068,-0.047,N
F,47.06937369584441,F,-0.092,0.797,N
F,43.577228736493076,F,-1.279,-0.029,N
F,43.27194449653975,F,-0.22,-0.187,N
F,42.635053741289624,F,0.206,-0.267,Y
F,45.866152882136774,F,0.233,-0.591,Y
F,44.33664717485713,F,0.216,0.449,N
M,29.24236549808261,F,0.638,0.466,Y
M,34.49115784677534,F,1.143,1.377,N
F,42.77138952515342,E,-0.228,0.374,N
F,47.32542798055233,F,-0.694,2.064,Y
F,43.349519956086496,F,-1.173,-0.504,N
M,24.96503723939689,F,0.804,2.264,N
F,40.49074875428726,F,-1.602,0.82,Y
M,28.445574913166567,F,1.771,0.376,Y
M,31.99100634848084,F,0.18,0.135,Y
M,32.0295067773887,F,1.796,-0.749,N
F,44.23888039400914,E,-1.003,-0.692,N
F,46.95562115447571,F,0.027,-1.508,Y
M,30.241165129287527,F,0.818,-0.855,Y
F,44.173095005123216,E,0.461,-0.335,N
F,47.70289758941302,E,-0.159,-0.27,Y
F,48.75645034375812,F,0.184,0.745,Y
F,48.212960725734014,F,-0.69,0.637,Y
F,44.02958249095589,F,0.013,1.191,Y
M,31.79524914908299,F,0.673,-0.365,Y
F,38.2667339799059,E,-0.804,0.027,N
M,30.616855771997088,E,0.848,0.186,Y
F,46.141589716432534,E,-1.367,-2.129,Y
M,30.480587776557545,E,0.757,-0.061,N
M,29.297111911598467,E,1.207,-0.165,N
M,34.126055098472236,E,0.196,1.598,N
F,44.705156501861225,E,1.959,0.378,Y
F,44.55874230386617,E,0.858,-0.888,Y
M,29.2380911089794,E,1.943,0.16,Y
M,33.27012833927432,E,0.893,0.97,N
M,29.07516146518866,E,0.909,-0.432,N
F,42.361555632840464,F,-0.636,0.762,N
F,44.65607529352395,F,-1.14,-0.991,N
F,50.40026506649162,F,0.806,-0.021,N
M,29.049147016225294,E,0.119,-1.868,Y
F,46.94724088270783,F,-0.905,1.33,N
M,29.12053662358933,E,0.121,-0.286,N
M,29.12484973033065,F,-0.493,0.405,Y
F,43.226463821208434,F,-0.497,-0.681,N
M,26.153708845159862,E,0.382,-0.513,Y
F,44.652840008981784,E,1.158,-1.893,Y
M,32.271956576173075,F,1.712,-0.078,Y
F,49.98435979680777,F,0.497,-0.459,Y
M,31.397314036712473,E,1.259,1.438,Y
M,27.416858460592586,E,1.464,0.954,N
M,32.35749254184931,F,0.726,-0.91,N
F,46.43576631355707,F,-0.549,-0.561,N
M,34.42201267951072,E,0.941,-1.129,N
M,36.60792846345332,E,2.432,1.025,Y
F,48.84092697018058,E,-1.068,-1.352,Y
F,43.75798952220946,F,0.363,0.34,Y
M,29.496471971117092,E,1.23,0.71,Y
M,33.661729467946145,E,0.16,-0.467,Y
F,43.39453333800694,F,0.269,-1.645,Y
M,29.55575227879622,E,0.233,0.811,Y
M,32.00595997219137,E,1.534,1.717,Y
F,48.38555360926394,F,-0.407,-0.055,N
M,30.704905745721334,E,1.855,0.389,N
M,20.853049185297913,E,0.877,-1.209,Y
M,31.07316940873282,E,0.746,-0.018,Y
M,29.01321380072775,E,0.537,1.273,Y
M,26.91386683269223,E,1.227,-2.362,N
F,45.076306285260124,E,0.388,-0.091,Y
M,33.543218750118825,F,0.623,-0.61,Y
F,41.42701447875496,F,-0.528,1.435,N
F,50.02777795708369,F,1.208,-0.292,N
F,48.09501633284912,F,-1.303,0.255,Y
F,47.95408476264737,F,0.763,1.47,Y
M,27.423665212981554,F,0.924,-0.035,Y
F,44.205501622001336,F,0.446,1.354,N
M,28.78936983771851,F,1.803,0.058,Y
F,45.00107820365674,E,-0.159,0.712,N
F,44.80329114851796,E,-0.641,1.304,Y
F,43.99645472370655,E,-0.605,-0.268,Y
F,44.43734432822759,E,0.97,-0.387,Y
F,44.33079779923592,E,0.756,1.233,N
M,30.845858244605644,F,1.779,-1.176,Y
F,39.776495890284515,F,0.96,-1.574,N
M,31.538695842418793,F,1.27,0.201,Y
M,35.36724437503243,E,0.822,1.656,Y
F,48.39154546987707,E,1.982,1.395,N
F,42.00881033195878,F,-0.171,0.243,N
F,48.303340617011905,F,2.529,0.687,Y
M,37.24043900837325,F,0.949,-1.54,N
F,44.23296975924199,F,0.853,-2.101,Y
F,47.28010313697281,E,-0.217,-0.887,N
F,52.2712792710845,F,-1.192,1.087,N
F,48.25808084650869,E,0.786,-0.893,N
F,49.903809114345535,E,-0.176,-2.382,Y
F,41.53659269296923,E,0.531,-0.232,N
F,45.74509857542054,F,-0.634,0.574,N
F,46.23951513674982,F,0.509,1.186,Y
F,46.78443258288349,E,-0.684,2.098,Y
F,47.496642076533284,E,0.578,-1.014,Y
M,30.493868894648806,E,2.135,-0.273,Y
M,25.849845342357003,F,1.575,1.141,N
M,33.371849436429564,E,0.493,-0.319,Y
F,46.19806155361851,F,-0.378,-1.69,Y
F,41.272886962313414,E,1.324,-0.91,Y
M,32.40015552836395,F,0.638,-0.999,Y
F,46.74867633993963,E,0.01,0.297,Y
M,31.69825235285019,F,0.804,0.474,Y
F,44.09294742897659,F,-0.566,-0.395,N
M,35.1684444585833,F,1.755,0.966,Y
F,46.8063772141316,E,0.182,0.171,N
F,42.50194592305304,E,0.021,-0.473,Y
M,25.12137102990655,F,1.193,0.079,N
F,42.57348258043141,E,0.937,-1.211,Y
M,22.506593196575785,E,0.6,-0.971,Y
M,29.17603742603282,F,-1.109,-1.49,N
F,45.40779800020827,E,-0.731,0.548,Y
M,26.181023412542395,E,0.548,-1.327,Y
F,43.27515591781897,F,0.313,0.103,Y
M,34.91191102447992,E,1.98,0.324,N
F,45.339284993886174,E,-1.723,-0.093,Y
F,49.855182589984985,F,-0.178,-0.786,N
M,29.4151322656114,E,0.794,-0.41,Y
M,29.440963974943674,F,2.836,0.135,N
F,38.045348063425216,E,-2.072,-0.612,N
F,47.3062135130918,F,-0.566,-0.482,N
F,48.480270736220206,F,-0.135,-0.011,Y
M,28.917337183367383,F,0.506,-0.631,Y
M,29.018731880382852,F,1.025,-0.645,Y
M,32.57104677503452,E,1.796,0.959,N
M,27.67162416137686,E,-0.044,2.086,Y
F,42.526073282994325,F,-0.536,1.636,Y
M,31.002752446938384,E,0.83,-0.081,Y
F,43.08286490582065,E,-1.177,0.418,Y
F,46.93233469589483,F,0.12,0.558,Y
M,27.089725779486308,F,0.827,1.155,Y
F,49.77348633279306,F,0.525,-0.909,N
M,32.075920443432004,F,2.296,-1.332,N
F,45.20823971256414,F,-1.384,-0.699,Y
M,27.23733736746117,F,0.992,0.838,N
M,26.655088472477257,E,0.962,-0.006,Y
F,42.16268738199667,F,-0.064,0.096,Y
F,40.47097550231969,E,0.18,-2.041,Y
F,49.23881284955306,F,-0.982,-0.57,Y
M,31.081735621718167,F,1.225,0.211,Y
F,48.38562405167217,F,-0.18,0.176,N
F,50.499406510981906,E,0.985,-0.113,N
F,49.13185103861898,F,-1.163,-0.139,Y
F,46.42181313538164,E,0.066,-0.567,Y
M,28.700144357941973,E,1.099,-1.093,N
F,47.36949324357021,F,1.138,0.466,Y
M,30.667676250503426,E,0.676,1.345,Y
M,29.175748720677575,E,2.143,0.964,Y
M,28.37079970097761,E,0.39,0.174,Y
M,33.4127831024641,F,1.053,-0.607,Y
M,34.67214756396312,F,-0.469,-1.837,N
M,29.13002982864074,F,1.685,0.099,N
M,28.61806027237472,E,1.169,-1.06,N
M,32.207806567822644,F,1.566,-1.748,Y
M,27.991395864642755,E,0.495,1.384,Y
F,46.90899330112884,F,-0.459,0.008,Y
F,50.492653689952235,E,1.076,0.331,N
F,43.67869149708915,F,0.769,-0.233,Y
F,45.07751764657849,E,1.043,-0.434,Y
F,51.29196196961778,F,-1.167,-0.397,N
F,43.819938180372276,F,-0.019,-0.779,N
M,30.445997305439146,E,1.206,1.159,N
F,42.02171796527235,E,-0.746,-0.787,Y
M,27.777441857538086,F,0.274,-1.322,Y
M,25.639734646807533,E,1.8,0.53,Y
M,39.25045141012347,F,0.547,-0.504,Y
F,46.80803854896195,F,0.483,-1.601,Y
M,29.85492877560623,F,1.314,0.643,Y
M,26.65726920571165,E,0.823,-1.111,Y
F,39.22981388952109,F,0.721,1.032,N
M,30.764443588674837,E,0.308,0.025,Y
F,44.54098964507959,E,-0.147,-0.533,N
F,46.58744018648488,F,0.585,-0.709,Y
F,47.18933602764378,F,0.387,1.115,N
F,48.20109475365669,E,-1.699,0.325,N
M,29.86662425868603,F,0.343,0.433,Y
F,46.96696979711001,E,-0.405,0.106,N
F,43.711257606075584,F,0.039,0.997,N
M,27.307490074829836,E,-0.602,-1.57,N
M,28.930570604188492,E,1.609,0.911,Y
F,47.431689507055,E,-0.529,-0.188,Y
M,31.91791402813483,F,0.347,0.072,Y
M,29.960113741772116,E,0.435,-0.172,Y
F,46.01960598505421,F,0.387,-1.296,Y
F,50.0833877200539,E,-0.013,0.162,Y
F,39.30027877944042,F,-0.602,0.953,N
F,41.03112682903887,E,-1.592,0.845,N
F,44.95878363378666,F,-0.64,1.025,N
M,32.21472436149042,E,0.4,0.831,N
M,29.319246259580336,F,1.248,0.217,N
M,32.855816445988296,E,-0.387,-1.161,Y
M,20.48964851402889,E,1.326,0.62,N
F,37.630415453369594,F,0.799,0.792,N
F,43.20444834800088,E,-1.269,-1.144,Y
M,38.43481305415209,E,-0.466,-0.156,Y
M,29.999783850189445,E,1.34,0.205,Y
M,22.91191600270248,E,2.562,-0.07,N
F,43.86148601889468,F,-0.133,1.567,N
F,46.95268710697264,E,-0.122,-0.639,Y
M,33.04281434021986,F,1.522,0.6,Y
F,46.488006309887766,E,-1.291,0.281,Y
F,44.25432162914129,E,-0.663,0.97,Y
M,32.1465202210474,F,1.049,1.399,Y
M,33.64806052964073,E,-0.337,-0.937,Y
F,43.245780840756964,F,-0.01,-1.06,Y
F,44.60914007335975,F,2.236,0.692,N
F,44.56962126468385,E,-0.292,0.026,Y
F,39.6066013498328,E,-0.43,0.567,Y
M,26.024712060948143,F,1.437,-1.962,Y
F,37.66786399864209,E,0.317,-0.768,Y
F,45.26669993669574,F,-0.268,0.363,Y
F,44.05867452425057,E,0.75,0.799,Y
M,28.927883911141215,E,-0.128,-0.052,Y
M,29.891205792490748,F,2.14,0.069,N
M,31.64207335472181,E,0.112,0.739,Y
M,27.873105495632764,F,0.812,0.261,N
F,48.711284560917456,F,-1.653,-1.597,N
M,24.964928261334705,E,1.23,0.346,Y
M,29.95683743723382,E,1.161,-0.752,N
M,29.689004253354717,E,-0.269,-1.321,Y
M,32.68754728788208,F,1.697,0.513,N
F,43.43471774746314,E,0.966,0.677,Y
M,33.37962371804772,E,0.1,0.841,N
M,29.260449474249906,E,1.587,1.787,N
M,29.67806398532752,E,2.234,0.502,Y
F,44.5285766186455,E,0.455,0.628,N
M,32.207574152210896,F,1.639,-0.026,Y
F,47.69789138125834,F,-0.001,0.086,N
F,43.0876416901626,F,0.108,-0.115,N
M,25.544695585354077,F,1.044,-0.992,N
M,26.89748427674105,E,0.46,1.397,N
F,45.5223547257807,F,0.118,0.532,Y
F,44.94736118297833,F,-0.644,0.087,Y
F,45.445668236186705,E,-0.693,1.224,Y
M,27.70680437334147,E,0.55,-0.646,N
M,32.5163534028493,E,1.054,0.615,N
M,29.44205234257774,F,0.765,-0.294,Y
F,39.83462647705764,E,-0.814,-0.768,Y
M,30.491259138221505,F,1.466,-1.996,N
M,31.731113005109563,E,1.029,0.001,N
M,30.454610020580013,F,0.437,-0.428,Y
M,30.41179489345915,F,1.136,-0.367,N
M,30.718380787182255,E,2.159,-0.233,Y
M,26.667815918288373,F,2.101,-0.181,Y
M,34.843828370037464,F,0.807,2.384,N
M,28.96753663393691,F,1.316,0.027,Y
M,34.638571713521884,E,-0.316,-0.28,Y
F,43.247690661403006,F,0.269,0.015,N
F,48.0568959361675,F,0.563,-0.265,Y
F,45.75951473759795,F,-0.818,0.202,N
M,30.317222092474996,E,1.531,-0.385,Y
F,42.03128074833758,F,0.54,-1.158,Y
F,48.81313308317447,E,0.119,1.648,N
M,31.324905829857357,E,-0.112,0.582,Y
F,44.714604219887605,F,1.146,-0.208,Y
M,33.81805494810254,E,0.887,-0.14,Y
F,45.28011517935082,E,-1.591,0.975,Y
M,36.98801884832896,E,1.806,-0.666,Y
F,48.21501534402659,E,0.053,-1.052,Y
F,43.95420607756037,F,0.671,-0.518,Y
M,34.29558069799183,E,0.84,-0.072,Y
F,45.192444785271064,F,0.21,0.925,N
F,51.34318569062139,F,1.26,1.056,Y
F,45.258226417640955,F,-0.842,-0.262,Y
F,44.749517992460035,F,0.43,0.01,N
M,30.297153855080595,F,1.041,1.438,N
M,31.26335105898539,E,0.923,-1.521,Y
M,34.8993523876248,F,1.197,0.77,N
M,30.926094897773392,E,0.87,-0.783,Y
M,29.66253777665021,F,1.796,-0.666,Y
F,43.43954239918825,F,-0.988,0.859,Y
M,32.48454240962109,E,0.057,0.03,Y
