G,age,job,X1,X2,D
M,30.801829943481092,E,1.346,0.671,N
F,44.01559175332461,E,0.178,1.45,Y
F,50.67091135569366,F,1.051,-1.645,N
F,41.16122812924744,F,-2.48,0.365,Y
F,51.62399081007137,F,-1.15,0.303,N
M,29.971390788967,E,0.391,-0.474,Y
F,47.038898557169425,E,0.933,-0.423,Y
M,27.598426194339364,E,0.705,-0.664,Y
F,44.57152596618045,E,0.17,2.257,N
F,45.20892896703486,F,0.434,1.936,N
F,41.628915477616,E,-0.039,-0.485,N
M,32.589110324643116,E,0.769,0.692,N
F,43.86543081877329,F,0.118,-0.063,Y
F,46.41413453149609,E,-1.073,-1.629,Y
F,47.65984974351764,E,-2.83,1.357,N
F,46.800361306671185,E,0.26,-1.138,Y
F,40.314560116691,F,-2.0,-1.735,Y
M,27.568467411010047,F,1.535,0.141,N
F,42.53708616391483,E,-0.98,2.279,N
F,42.08679952634287,E,1.312,-0.59,Y
F,47.395770236467655,F,0.027,0.178,N
M,26.082156984766456,F,1.5,0.749,N
F,46.91364645919037,F,-1.309,1.607,Y
M,26.282305312006955,E,1.286,1.281,Y
F,40.952489588242734,F,-2.309,1.763,Y
M,24.266248489138427,F,2.191,-0.919,Y
F,44.827663408697646,E,0.134,-0.108,Y
M,24.956930039654395,E,0.558,-1.499,N
M,30.611938650628375,E,2.197,0.197,Y
M,28.817031294704652,F,1.026,-1.19,N
F,41.24136519930837,E,1.556,1.425,Y
F,44.749425350367645,F,-0.171,1.093,N
F,48.51823999464916,F,-2.304,-3.027,N
F,46.199703504624665,F,-0.428,1.927,N
F,46.847147293065575,F,-0.996,0.583,Y
F,45.18080224257623,F,-0.596,0.997,Y
F,44.6404923212486,F,-0.045,-0.408,N
F,43.212391710002876,E,-0.158,0.461,N
M,32.4601961960079,F,2.078,1.041,Y
M,31.36841392458904,E,2.36,-0.886,Y
F,41.5775694776882,E,0.04,0.866,Y
M,33.245547491994046,E,0.586,-0.16,Y
F,43.46132142358954,F,1.502,0.446,Y
M,30.15417700807832,E,2.542,-0.497,Y
M,29.25882767863522,F,-1.181,2.916,N
F,44.25489152927997,E,-1.465,-0.684,N
M,30.08184863877688,E,0.78,-0.201,Y
F,40.09855809120663,E,1.957,0.007,Y
M,30.898035480458795,E,0.768,-1.079,N
F,45.04596285005329,E,0.479,-2.046,N
F,44.54338919937451,E,-0.535,-0.276,Y
M,33.634680703893665,F,1.83,-0.11,Y
F,43.01961193148712,F,0.479,-0.238,Y
M,24.562043431312336,E,1.289,0.877,Y
F,39.581419989415195,E,0.343,-0.938,Y
M,31.358270104419027,F,0.533,0.647,Y
F,40.67944975454077,F,2.711,1.56,Y
M,28.45177615396165,F,1.081,0.453,Y
M,30.788371776649,F,0.684,-0.815,N
F,34.53204781987502,E,-0.584,0.028,Y
M,31.32949482419007,E,0.175,-0.698,Y
M,26.549773055887268,F,1.384,-0.875,Y
M,26.91401565874181,E,-0.401,-3.213,Y
F,44.54565280053859,E,2.948,-0.613,Y
M,23.04643377952208,E,2.882,-1.516,Y
F,45.94921206756432,F,-1.221,0.435,N
M,24.490300067728768,E,0.213,0.155,Y
M,28.212567387041915,F,1.796,-1.264,Y
F,49.49145497935348,F,0.563,1.935,Y
M,31.092458629060534,E,2.415,-0.629,Y
F,42.31764376379413,E,1.568,0.508,N
M,26.83422475329336,E,1.244,-2.1,N
M,32.710558631308906,F,1.9,0.39,Y
M,28.421230900886076,F,2.164,0.551,N
M,32.38853480927314,F,0.513,-0.6,Y
M,27.247591350276778,E,1.152,-0.79,N
M,32.35720043398731,E,1.551,-0.718,Y
M,34.66218651750448,F,0.772,0.194,Y
M,28.74029755935726,E,1.715,0.614,N
F,47.84373539153623,F,-0.556,-0.474,N
M,27.24120674395501,E,1.039,0.898,N
F,43.546947124947,F,-0.449,-0.862,N
F,44.08565990512006,E,-0.001,0.766,Y
M,35.20638531705445,E,0.826,-0.061,Y
F,43.165705655068024,E,0.393,1.136,N
M,30.377063341611095,F,0.671,1.476,N
F,46.028308740121034,F,-0.055,-1.055,Y
F,49.97081236814543,F,0.961,-0.725,N
F,45.76959890687999,E,-1.393,-1.981,N
M,35.135144515835634,F,1.201,-3.064,N
M,32.89948321292928,E,1.324,0.166,Y
M,24.583796029352172,E,2.159,0.012,Y
M,31.363040205043276,F,1.196,-0.263,Y
M,29.1252270224206,F,0.647,0.894,Y
F,50.04232643862078,F,-1.248,-0.247,N
M,32.23272606062324,F,1.435,-1.941,Y
F,44.188527896129145,F,-0.234,-2.219,N
F,48.19725328662918,F,-0.607,0.438,N
M,34.45710046373075,E,1.073,0.133,N
M,32.87134912195413,E,0.652,-1.715,N
M,36.87831401697546,F,0.42,-1.038,Y
F,50.077025907247425,E,-0.845,1.994,N
M,33.04105656165039,E,1.251,0.809,Y
M,37.213455583794044,E,0.35,-1.174,N
M,31.30326128607494,E,1.94,1.087,N
F,44.95149156187329,E,1.444,-0.185,Y
M,29.025779556159478,E,0.68,-1.115,Y
F,49.543212913001575,E,-0.618,0.417,Y
M,28.722910518347238,F,1.328,1.087,Y
F,47.27747211037913,F,-0.122,-1.673,N
M,27.682862972799366,F,0.858,-1.007,N
M,36.62473058280484,F,0.725,1.423,Y
M,30.12433241061004,E,0.475,1.304,Y
F,52.0097909326754,F,-1.061,-1.275,Y
F,48.94772390523556,F,0.107,0.229,N
M,31.48986554903949,F,0.865,-0.384,Y
F,43.731668364391595,E,-0.881,0.098,Y
M,32.45187542198601,F,1.8,0.282,Y
M,28.36442254628317,E,2.333,-0.176,Y
M,30.961523373553618,E,0.531,0.838,N
M,29.209312243148567,E,-0.066,0.224,N
F,41.62601038453633,F,-0.131,-0.27,Y
F,44.71812453914223,F,0.313,0.695,Y
M,30.017690397581877,F,0.386,-0.008,Y
F,41.909433756326884,F,-0.658,-1.197,N
M,33.485840294980655,E,0.806,-0.373,Y
F,46.56169030997058,F,-0.702,2.047,N
F,43.24705511757726,F,-0.059,-0.465,N
F,45.28660740094325,E,0.5,0.955,N
M,30.159773765856425,E,1.314,-0.223,Y
F,46.6657777403893,F,-0.253,-0.802,N
F,43.26830110651404,F,-0.813,0.396,N
M,25.873372813025455,E,1.029,-1.222,N
M,32.7127149864356,F,1.645,0.407,Y
F,38.580912453270734,F,0.136,0.388,N
F,44.470473245954466,F,0.213,-0.644,N
M,26.625513278498268,F,1.203,0.617,N
M,25.53437526275102,F,1.306,1.085,N
F,41.92973521501912,F,0.827,0.608,Y
M,29.00357704389762,F,0.407,1.372,Y
M,36.0856328438829,E,0.609,-0.075,Y
M,31.56190119859477,E,-0.024,1.049,Y
M,29.85288150371345,F,1.395,0.159,N
M,31.327480856675272,E,-0.272,1.215,N
F,43.55961825879673,E,0.237,1.234,Y
F,42.189068038297606,F,2.48,0.155,Y
F,43.47285168474025,F,-0.302,0.944,N
F,38.733819063409584,F,-1.926,0.88,Y
M,29.66462927583143,E,0.056,-0.525,Y
M,25.329183875603256,F,0.811,1.134,Y
F,47.09066465763336,F,1.02,-1.076,Y
F,42.46993113456056,E,0.472,0.232,Y
F,44.99730815144817,F,-1.37,-0.178,Y
F,45.28597239492161,F,0.447,-1.155,Y
F,37.66563401742148,E,-0.004,0.8,Y
F,49.0282618827542,E,0.182,1.001,Y
M,32.83351145160104,E,0.68,0.006,Y
F,46.05561837498754,E,-0.133,-0.356,Y
F,42.299053236301475,E,0.384,-0.258,Y
F,46.00555985319043,F,-0.494,0.752,N
F,44.0676123413466,F,-1.405,1.122,Y
M,37.672497887035306,E,1.672,1.045,Y
F,43.093907026605756,F,0.062,-0.917,N
M,29.640287951645735,E,0.589,0.654,Y
M,31.23768516196472,E,1.959,1.42,N
M,25.27006879241859,E,0.524,1.049,Y
F,46.46476896440036,E,-0.182,-1.32,Y
M,25.237079218667027,E,1.803,-1.73,Y
F,44.8715254123049,E,-1.855,-0.724,N
F,49.32374372305582,E,0.043,0.611,N
M,32.8741225744637,F,1.914,-1.006,N
F,45.08860753477626,F,-0.77,0.773,Y
F,43.81121748571471,E,-0.827,0.576,N
M,28.3346522827379,E,0.821,0.158,N
M,24.69262607738834,F,0.978,-1.652,Y
M,32.49370332959131,E,0.468,0.778,Y
M,31.228486352170286,E,1.941,-1.114,Y
F,46.741111210221554,F,-1.362,0.097,Y
M,29.327166825605424,F,0.712,1.173,Y
F,49.76154474285422,E,1.58,-1.347,Y
M,28.93267441282389,E,2.443,-0.048,Y
M,28.60275839876649,E,1.394,0.886,N
F,47.42540655173251,F,0.232,0.14,Y
M,31.46902403533126,F,0.233,0.478,Y
M,28.503009893844457,E,-0.258,1.334,Y
F,45.21080268560702,F,3.229,-1.253,N
F,46.91677875540482,F,1.694,-0.527,Y
M,28.460428945436266,F,1.686,0.787,Y
F,46.280677517978866,E,-1.291,0.413,N
F,39.756228323479206,F,-1.889,0.178,N
F,49.71568863297881,F,1.471,-0.327,Y
F,45.3958522450645,F,0.462,-0.083,Y
F,40.988633288659784,F,3.189,-0.312,Y
F,46.13354935005756,E,-1.528,-0.96,N
M,29.980480557876678,E,0.679,-0.099,N
M,30.373948764044883,E,2.254,0.743,Y
F,43.589647777486995,F,-1.006,-0.708,Y
M,30.20544341084055,E,0.28,0.417,Y
F,43.15708994520684,F,-0.797,1.354,Y
M,26.867627007211777,E,0.507,0.405,Y
F,42.10226186322066,E,-1.823,-0.885,N
M,35.60907859578889,F,0.509,-0.229,Y
F,43.60231766665003,F,-1.114,0.207,Y
F,51.16036084963134,E,-2.075,-1.644,N
F,49.47542819688724,F,-0.673,1.296,Y
F,48.12600068575547,F,-0.141,-0.299,Y
M,27.484624211303014,E,0.582,0.913,Y
M,27.893158334570266,E,1.282,2.181,Y
M,26.271664086665453,E,0.704,0.229,Y
M,29.133059924600797,E,1.465,0.875,Y
F,38.46072680705781,F,1.203,-1.34,Y
M,31.03289485144428,E,1.559,-0.597,N
M,34.207001618513814,E,1.318,-0.437,Y
M,29.09308741478553,E,0.881,0.095,Y
F,42.14705396518891,E,-0.624,1.673,N
F,45.85846789295887,F,0.16,0.405,Y
F,43.152250383107784,E,1.16,-0.416,Y
F,48.825620898799485,F,-0.587,0.937,N
M,30.938029434688087,F,2.002,-1.281,Y
M,26.640747944289114,E,1.556,1.73,N
M,32.00289507933734,E,0.302,0.003,Y
F,46.21237538224712,F,1.361,0.487,Y
M,30.922549586196567,F,1.118,0.856,N
F,43.38603184830805,F,0.762,1.023,Y
F,43.974102915095486,F,0.478,0.363,Y
M,33.97706441913326,E,0.648,0.239,Y
M,33.13480431711977,E,0.349,-1.964,Y
F,44.58349749353667,F,-0.602,-0.716,Y
M,28.400002073226926,E,0.645,-0.297,Y
F,48.505466145658,F,0.265,0.232,Y
M,30.48160497443589,E,2.258,-0.344,Y
M,33.68259757481765,F,0.519,-0.692,Y
M,26.190121814948558,E,0.187,-2.964,Y
M,37.08831017183823,E,2.524,0.464,Y
M,30.31927480937668,F,1.895,0.031,Y
F,44.6239500526227,F,-1.814,-0.14,Y
M,28.970395882607566,F,1.621,-0.439,N
M,25.228637373101787,E,0.875,0.409,N
F,44.442978986137454,F,1.017,0.182,Y
F,40.90214822545341,E,-0.398,0.712,N
F,46.4647668883963,F,-0.487,-0.673,N
M,25.436250778619602,E,1.938,-0.886,Y
F,44.74220307941244,F,2.53,0.35,N
F,45.08352028660657,F,0.358,1.567,N
M,29.957374265469717,F,1.435,0.924,Y
F,39.51038965411023,E,-0.906,-0.832,Y
F,42.34190637330197,F,0.128,1.115,N
M,29.945643236899492,E,1.29,0.904,Y
F,40.18926088717809,E,2.034,0.296,Y
M,25.80295973118186,F,3.233,-1.048,Y
F,46.041984363270345,E,-0.284,2.863,N
F,44.000800689447566,F,-1.629,1.44,Y
M,28.606998001315333,F,1.163,0.526,N
M,25.960157610196113,E,0.871,0.502,Y
M,23.466606301714105,E,1.507,-0.317,Y
M,25.58813854315531,F,0.336,-0.456,N
M,28.775862132406804,E,1.503,-1.092,Y
F,38.7907339100799,E,-0.183,0.6,Y
F,46.22645723811785,E,-1.033,-1.728,Y
F,45.708379057008536,F,-1.534,-1.044,Y
F,43.00414801995311,F,-0.08,-0.06,Y
F,48.52331787964074,F,0.908,-1.203,Y
F,45.894829259422686,F,1.898,-0.105,Y
M,30.417257315568918,F,1.998,1.726,N
F,42.105360739557405,F,-0.442,-1.279,Y
M,34.538286673486425,E,2.045,0.804,Y
F,42.84584850994356,F,-0.099,-1.106,Y
F,45.426194449748614,F,0.157,-0.832,Y
F,47.62142196184855,F,0.134,-0.698,Y
M,29.481863054955028,F,2.04,0.678,Y
F,42.23228203339749,F,0.396,-0.669,Y
F,47.13199248863048,F,0.354,-0.43,Y
M,27.317945088236375,E,0.265,-1.981,N
M,28.675105918596536,E,0.428,0.307,Y
M,27.39588539721685,F,0.319,-1.435,Y
F,45.90962875928904,F,-0.751,0.272,Y
F,45.17495065247139,F,-0.162,0.356,N
F,40.70499912742507,F,-0.033,0.582,N
F,45.5456014135347,F,-0.597,0.972,N
F,49.50864921085705,E,-0.089,0.982,N
F,45.973000451581704,F,0.266,-0.341,N
M,28.07197193031933,E,1.448,-1.329,Y
M,27.91163677899153,F,1.711,-0.86,Y
F,45.84022365257031,E,0.089,-0.231,Y
F,43.93270223387986,E,-0.558,0.511,N
F,48.223369836355324,F,1.331,0.126,Y
M,30.970359225234752,E,0.981,-0.008,Y
F,45.96439942634308,F,1.769,1.819,Y
M,27.467724759531883,E,0.766,0.867,Y
M,25.398925857361043,E,1.185,-0.172,Y
M,27.664666994700063,E,1.344,1.001,Y
F,40.74038625920246,E,0.539,-1.054,Y
F,39.20857117723078,F,1.281,0.066,Y
M,30.227388579192404,F,0.048,0.841,Y
F,43.55451551606485,E,1.502,0.134,Y
F,48.41288575090426,E,-1.111,-0.492,Y
F,52.22868421877162,F,-1.377,-1.193,N
F,45.720707241152354,F,-0.565,0.449,N
F,41.87193306389499,F,0.533,-0.302,N
M,28.071121475791212,E,0.787,-0.954,N
F,42.93458913412908,F,-0.916,0.026,Y
M,31.573962380048382,E,0.676,-0.293,Y
F,47.61299522726608,F,0.118,1.499,N
M,35.742055020612,E,1.629,0.164,Y
M,22.549124127111437,F,1.636,0.198,N
M,32.22456135205482,F,1.715,1.172,Y
F,46.01727742479366,F,0.64,1.361,Y
F,44.28139874347573,F,1.336,-0.762,N
M,27.461596582473238,E,1.882,-0.576,Y
M,21.205779259727507,F,3.204,-0.21,Y
M,27.705046963851906,E,0.124,-0.729,Y
F,44.28117464025748,F,1.562,-1.355,N
F,45.91874104515646,E,-0.883,-1.368,Y
F,43.98322841329594,F,0.303,-0.448,N
M,24.290210868268936,E,-0.049,-0.687,N
F,49.535709643842495,E,1.917,-0.161,N
M,27.13850072562308,E,1.476,0.317,Y
M,30.602465175516723,F,1.206,0.082,N
F,45.148299956919196,E,-0.043,-0.007,Y
M,32.6818875073861,E,1.499,-0.825,Y
F,50.40285545199973,F,-0.276,0.854,N
M,31.370138707398667,E,0.214,-0.627,Y
F,43.852513016764966,F,0.2,-0.113,Y
M,27.870114510762377,E,1.316,1.264,N
M,26.469839823231748,E,0.684,-1.971,N
M,34.425430200227254,E,0.607,0.534,Y
F,43.58177218643272,E,0.586,-0.293,Y
M,27.14989856697724,E,0.176,1.538,Y
M,28.54529496357788,E,0.442,1.162,Y
F,43.63018165090393,F,0.017,-0.861,Y
F,45.48662016750513,F,1.8,-1.063,Y
M,37.17530991084385,E,0.76,1.501,Y
M,29.387220004440014,E,1.363,0.063,Y
F,45.321182870073514,E,-0.589,-0.68,Y
M,28.418547814978677,F,1.034,-0.178,Y
M,30.345274263995407,E,1.327,2.514,Y
F,46.971575314802536,F,0.472,0.483,N
M,28.657068708777608,E,2.9,-0.427,N
M,29.80585348040338,E,1.566,-1.557,Y
M,27.185114201598452,E,1.06,-0.14,Y
M,26.39584349507453,E,1.379,2.805,N
M,27.214375052606844,F,0.629,-0.98,Y
F,41.732710580452405,E,-0.293,0.566,Y
M,26.33190691656281,E,-0.326,0.794,N
F,45.18422148973724,F,-0.049,-1.024,N
F,49.5725542596963,F,0.978,1.963,N
F,45.39152712883203,F,1.759,-0.139,Y
F,38.72996216806645,E,0.6,-0.231,Y
M,25.206401645412136,E,-0.093,-1.158,N
F,42.8780070472935,E,-0.305,0.528,N
M,24.27044618992374,F,1.109,0.99,N
F,39.86509887967421,F,0.092,0.29,Y
F,45.21480513123279,F,-0.599,0.083,Y
F,40.8760917571319,F,-0.804,2.254,Y
F,45.95444734456994,E,1.466,0.121,Y
F,48.76543214305027,E,0.101,0.538,N
M,29.86870844829695,F,0.894,1.591,N
F,35.2946526680532,E,1.303,2.098,Y
M,25.661394878011166,F,1.109,-0.729,Y
M,33.37205693515763,E,1.899,-0.575,N
F,46.521856678391956,F,0.887,0.083,N
F,46.36297223451774,F,-0.432,0.055,Y
F,49.689190512335486,F,0.077,-3.257,N
M,28.16674285896765,E,2.15,-1.882,Y
F,46.448987434942744,F,-0.697,2.05,N
F,43.039023538648365,E,-0.317,-0.259,N
F,45.34674381168322,E,-0.748,0.747,N
F,42.788221915801614,F,0.579,0.325,Y
F,46.24064903471028,E,0.078,-0.488,N
F,50.01666602860108,E,0.243,-1.323,N
F,42.084270921689836,F,0.023,0.487,N
F,36.656947652545455,E,0.62,-1.041,N
F,45.623696040326934,E,0.231,-0.79,Y
F,39.37879287576666,F,-1.108,0.853,Y
M,35.34369399965455,E,0.716,0.79,N
M,31.805658640875674,E,1.878,-0.621,Y
M,28.2780229693834,F,0.528,0.093,Y
F,44.351788453208385,F,0.254,-1.992,N
F,43.59082408701755,F,1.063,-1.249,N
M,31.531615179073192,F,0.834,-0.949,Y
F,40.56613130696354,F,-0.044,-0.513,Y
M,26.474551446791562,E,1.955,1.163,N
F,49.423775839607124,F,-0.789,0.368,N
M,29.64984048695796,E,0.597,-0.749,Y
F,51.31733829418876,E,0.309,0.888,N
F,45.0152515661541,F,1.512,-0.166,N
M,32.15191026405905,F,2.538,-0.423,Y
F,43.436612344587985,E,-0.489,0.718,N
M,30.017694284920275,F,1.582,-1.035,N
M,27.413570099212794,E,0.239,-0.325,Y
F,46.945173154673874,E,-0.019,-0.002,Y
M,35.52481604460396,F,1.281,1.852,N
F,46.77984391224985,F,-0.626,-1.136,Y
M,28.059693807132433,E,0.475,-0.763,N
F,45.62707505153483,F,-0.016,-1.53,Y
F,46.205982620890275,F,0.163,-1.61,Y
M,30.499477367042868,E,0.937,0.366,Y
M,27.682513007812943,F,1.323,-0.259,N
F,44.76265746998529,F,-0.367,-0.314,Y
F,44.42306657598581,F,-0.075,1.645,N
F,48.17940108690571,F,0.527,-0.45,N
M,29.92780843244966,E,-1.507,-0.172,Y
M,28.897250836935786,E,0.543,-0.431,N
M,26.540307134163328,E,1.541,0.248,Y
M,27.716035231012444,F,-0.506,-0.449,Y
F,43.07354606967972,E,-0.618,2.09,Y
M,28.091095367438342,E,0.901,0.782,Y
F,44.35154407685849,F,0.52,-0.067,N
F,48.57740277015657,F,-1.064,0.776,N
M,36.54011678221985,E,0.282,-1.566,N
F,48.75186452626484,F,-0.458,-0.397,Y
M,29.292633227369166,E,1.21,0.648,N
F,42.272344171279144,F,-0.852,1.222,Y
M,27.70305744826438,F,0.466,0.219,N
M,30.959996347801273,E,1.656,-0.389,Y
F,45.20309582594522,E,0.756,0.197,Y
F,46.37149275619375,F,0.976,0.052,Y
F,44.13376505489547,F,-1.2,0.459,Y
M,28.746819513342647,E,1.526,0.504,Y
F,47.65741471388196,E,1.568,-0.17,Y
F,48.3169455309796,F,-0.597,-1.242,Y
F,43.43863984542243,E,-0.555,0.143,Y
F,43.348650755719085,F,-0.258,1.669,N
M,38.25881097370066,E,1.789,-0.045,Y
F,45.42785163474499,F,-1.068,-1.647,Y
M,30.195629394788142,E,1.709,-0.807,Y
M,29.043526818000732,E,-0.309,-1.316,Y
M,27.379487345950444,E,0.751,-0.946,Y
M,30.45891602502145,E,1.447,-1.099,N
M,31.859686439449444,F,2.233,0.666,Y
M,28.07262615356358,E,0.377,-0.564,Y
M,31.018011930881315,F,2.046,-0.324,Y
M,25.669038106354492,E,0.861,-0.99,Y
M,29.81495076683007,E,1.296,1.386,N
F,45.53779372013231,F,0.728,1.892,N
F,46.569975133748656,E,-1.65,0.195,Y
F,42.05242630108549,E,0.364,-0.501,N
F,44.523312978279904,F,1.113,-0.886,Y
F,43.93706931610536,F,0.335,0.053,Y
F,38.844298583810975,F,-0.01,2.154,N
M,33.70907075059212,E,0.372,-0.216,N
F,44.133818532594475,F,-0.212,-0.814,N
M,35.15868004592763,F,0.515,1.856,Y
M,29.57966763511921,F,1.28,1.456,Y
M,30.64458253213086,E,1.326,-0.052,Y
F,42.69440183934213,E,-0.274,0.674,Y
M,32.66375966043617,E,2.269,-1.799,Y
M,29.518645730990055,E,0.89,0.992,Y
F,45.22544238911453,F,0.451,0.314,Y
M,33.06691996740976,E,1.529,-1.95,Y
F,42.77191987388361,F,-0.522,-0.124,Y
F,43.873902358662335,F,-0.008,1.525,N
F,45.27943725106416,F,0.218,-0.112,Y
F,43.63956334362202,E,-0.628,0.294,Y
M,26.053882684287657,F,2.381,0.446,Y
F,46.57779354018319,F,-2.176,1.037,Y
F,39.41226642175379,F,0.328,-0.258,Y
M,28.6721868209495,E,1.032,-0.503,Y
M,32.20582839475372,F,1.951,1.049,Y
F,46.49847954615465,F,-2.975,-1.922,N
M,29.7941073098523,F,0.677,-1.323,N
M,33.232654654746156,E,0.678,-1.188,Y
F,43.2544841105611,F,-0.793,-0.697,Y
F,43.92820397495679,F,0.993,-0.183,Y
F,49.98504315234013,F,0.594,0.646,N
F,42.76947519461615,E,-0.086,-0.904,Y
F,40.92444428652917,E,0.481,0.81,Y
M,31.022893455353643,E,0.612,0.815,N
M,29.551797886649382,E,0.027,-1.48,Y
M,32.93412708125651,E,0.567,-0.303,N
M,29.280835518789118,E,0.316,0.395,N
F,47.37438076500883,F,-0.277,-0.347,N
F,49.574656056971804,E,1.186,0.989,N
M,32.051770874692515,E,0.851,0.981,N
M,26.852070047075948,F,1.049,-1.301,N
M,27.896427861012587,F,0.86,-0.921,N
F,45.90595113253071,E,0.236,0.878,Y
F,43.838484681672504,F,1.362,-0.532,Y
M,25.26981098755534,F,1.875,0.493,Y
F,45.735864422639914,F,-1.027,-0.106,N
F,40.10477262230219,E,-1.336,2.007,Y
M,25.689652840445504,E,1.347,0.284,Y
M,28.594826516112512,E,0.659,0.022,N
F,50.06742641460974,F,-0.404,0.271,N
F,41.820867936763165,E,-0.693,0.445,N
F,47.323698072261436,F,1.261,-1.021,N
F,47.78295875327911,F,0.191,-1.126,N
M,32.66234132348371,F,1.81,0.55,Y
F,45.3147667465558,E,-2.116,1.05,Y
F,44.28891579121878,F,0.258,-1.187,N
F,43.32583336145409,E,0.404,-0.313,N
M,30.99938112434615,F,1.831,0.215,Y
M,30.2921958589791,E,1.325,-0.776,Y
M,28.721479514735833,E,1.847,-1.262,N
M,32.830682110656596,E,0.384,1.514,Y
F,41.14239190454097,F,-0.282,0.582,Y
M,29.788531305236464,F,1.041,0.128,Y
M,31.5549620851,F,1.025,-0.471,N
M,31.86245089245109,F,0.243,-1.036,N
M,24.078477323071603,F,0.39,-0.284,N
F,39.31149434175151,E,-1.347,-2.1,N
M,30.996528275500534,F,0.537,-0.142,Y
M,25.790468671350737,F,1.819,0.354,N
M,28.462177202920294,E,0.874,1.238,Y
F,43.95164174716008,E,-0.245,-0.05,Y
M,29.38583300191078,E,0.951,-0.231,N
F,50.539545239545525,E,-0.422,-0.675,N
F,45.74896575556565,F,0.11,-0.582,Y
M,31.788815421294505,F,0.807,0.194,N
M,29.910616072733323,E,0.951,-0.702,Y
F,50.63634057856782,F,-1.678,1.493,N
F,44.45593656111332,E,-1.177,-0.87,Y
F,40.711158666766295,F,0.288,-0.382,Y
M,33.21340672087392,E,0.73,-1.376,Y
M,27.096533291905338,F,0.812,1.119,N
M,27.8587198534271,F,2.177,-0.662,Y
F,44.1531306568959,E,-0.648,1.732,N
M,27.971369244004524,F,0.754,-0.613,Y
M,26.867327279140266,E,1.07,0.077,Y
M,34.220525430450756,E,1.911,0.786,N
M,27.685155951530934,E,1.186,0.514,N
M,32.192560384028255,E,-0.216,0.868,N
M,29.018077237788575,E,1.095,1.074,Y
M,30.29652741448216,F,1.661,1.144,N
M,31.697692595873775,F,1.479,0.217,Y
M,30.041136339116694,E,1.946,-1.257,Y
F,41.94100589888808,E,-1.195,1.249,N
F,46.70335156213938,F,-1.474,-1.227,N
F,45.31786894170588,F,0.409,0.203,Y
M,36.42728692825579,E,1.413,-0.435,Y
F,48.81226915362177,F,-0.898,-0.561,N
F,47.5996576359064,E,0.945,0.99,N
M,25.079489344384804,E,1.868,-0.779,N
F,45.59528786379776,F,-0.17,0.923,N
M,35.10231440856676,E,0.493,-1.435,N
F,44.816624658232,F,0.833,1.823,Y
M,28.642090404623332,F,0.321,0.252,N
F,52.32521828693098,E,0.667,1.305,Y
F,49.25896183194903,F,0.168,0.26,N
M,32.220688565051184,F,-0.736,0.828,Y
F,45.87894789222945,F,-1.316,-0.185,Y
F,43.41778447526796,F,-1.333,0.991,N
F,47.82876163311839,F,-0.368,0.843,Y
F,45.65600977662932,F,0.209,0.295,Y
M,30.052658019968252,E,1.178,0.158,Y
M,32.959434869984875,E,0.739,1.108,N
M,28.972294297271887,F,0.543,-1.22,Y
M,34.64809488857195,F,0.041,1.02,N
M,28.68232252321062,E,0.849,-0.748,N
F,43.15836089716455,F,-0.094,-0.749,Y
M,32.113960831094644,E,1.985,-0.785,N
F,45.08874906130729,E,0.824,0.824,Y
